epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3333.85,0.60488,0.5975,0.96533,0.91622,0.89546,0.98014,0.8822,0.4568,0.5122,0.82095,0.000539275,0.000539275,0.000539275
43,3383.87,0.59593,0.60281,0.94865,0.72917,0.95122,0.97308,0.87434,0.45369,0.77583,0.82696,0.000511769,0.000511769,0.000511769
44,3434.12,0.58009,0.60097,0.95579,0.90191,0.9878,0.98369,0.89235,0.45205,0.44341,0.82185,0.000484263,0.000484263,0.000484263
45,3484.32,0.59694,0.62369,0.96761,0.92313,0.94873,0.98566,0.88547,0.4587,0.44069,0.82022,0.000456758,0.000456758,0.000456758
46,3535.1,0.59723,0.59806,0.94708,0.94537,0.89395,0.98219,0.89655,0.44767,0.48048,0.81664,0.000429253,0.000429253,0.000429253
47,3585.85,0.58396,0.616,0.94979,0.91474,0.98037,0.98453,0.89213,0.44469,0.43722,0.81564,0.000401747,0.000401747,0.000401747
48,3636.06,0.57953,0.57558,0.94724,0.92544,0.95769,0.98733,0.90284,0.43436,0.43266,0.81609,0.000374242,0.000374242,0.000374242
49,3686.46,0.56261,0.5528,0.94163,0.92747,0.98568,0.98821,0.90527,0.43614,0.42984,0.81842,0.000346736,0.000346736,0.000346736
50,3736.38,0.58157,0.58341,0.96305,0.95666,0.9841,0.99083,0.90656,0.43593,0.40658,0.81828,0.000319231,0.000319231,0.000319231
51,3787.98,0.43895,0.53391,0.84999,0.95299,0.96884,0.98992,0.89564,0.45327,0.42411,0.81549,0.000291725,0.000291725,0.000291725
52,3837.76,0.44117,0.51964,0.85412,0.95612,0.92196,0.98729,0.89469,0.44384,0.44724,0.81593,0.00026422,0.00026422,0.00026422
53,3887.49,0.44026,0.52656,0.8535,0.91459,0.95889,0.98694,0.89628,0.44953,0.44569,0.81947,0.000236714,0.000236714,0.000236714
54,3937.18,0.44706,0.50997,0.85583,0.86185,0.95154,0.98265,0.89673,0.4411,0.48195,0.82096,0.000209209,0.000209209,0.000209209
55,3986.77,0.43588,0.52246,0.86414,0.95661,0.92704,0.98386,0.89876,0.43414,0.45085,0.82114,0.000181703,0.000181703,0.000181703
56,4036.54,0.41935,0.49111,0.85842,0.96459,0.95707,0.98422,0.89729,0.41888,0.41458,0.81595,0.000154198,0.000154198,0.000154198
57,4087.08,0.41975,0.48793,0.84678,0.97225,0.97561,0.98428,0.90137,0.41352,0.3834,0.81305,0.000126692,0.000126692,0.000126692
58,4136.88,0.43051,0.4657,0.84887,0.96646,0.97561,0.98441,0.90149,0.41075,0.39187,0.81329,9.91865e-05,9.91865e-05,9.91865e-05
59,4186.38,0.43108,0.47783,0.861,0.96518,0.96976,0.98698,0.90522,0.40891,0.38581,0.81242,7.1681e-05,7.1681e-05,7.1681e-05
60,4235.74,0.4143,0.45593,0.84096,0.96552,0.95723,0.98633,0.90285,0.40746,0.38207,0.81065,4.41755e-05,4.41755e-05,4.41755e-05
